trip_id,stop_id,is_peak_hour,seat_occupancy,delay_min,arrival_time
500D-1,500D-1#1,0,32,0,05:00:00
500D-1,500D-1#2,0,35,1,05:02:00
500D-1,500D-1#3,0,27,1,05:05:00
500D-1,500D-1#4,0,45,1,05:07:00
500D-1,500D-1#5,0,42,1,05:10:00
500D-1,500D-1#6,0,25,0,05:12:00
500D-1,500D-1#7,0,29,1,05:14:00
500D-1,500D-1#8,0,45,0,05:16:00
500D-1,500D-1#9,0,43,2,05:21:00
500D-1,500D-1#10,0,21,1,05:25:00
500D-1,500D-1#11,0,30,1,05:29:00
500D-1,500D-1#12,0,36,1,05:33:00
500D-1,500D-1#13,0,21,0,05:36:00
500D-1,500D-1#14,0,32,0,05:40:00
500D-1,500D-1#15,0,40,0,05:44:00
500D-1,500D-1#16,0,29,1,05:47:00
500D-1,500D-1#17,0,39,0,05:50:00
500D-1,500D-1#18,0,32,2,05:54:00
500D-1,500D-1#19,0,21,2,05:59:00
500D-1,500D-1#20,0,31,2,06:04:00
500D-1,500D-1#21,0,42,2,06:09:00
500D-1,500D-1#22,0,34,1,06:12:00
500D-1,500D-1#23,0,32,0,06:15:00
500D-1,500D-1#24,0,20,0,06:18:00
500D-1,500D-1#25,0,20,2,06:20:00
500D-1,500D-1#26,0,34,1,06:23:00
500D-1,500D-1#27,0,49,2,06:26:00
500D-1,500D-1#28,0,42,1,06:28:00
500D-1,500D-1#29,0,21,1,06:32:00
500D-1,500D-1#30,0,36,2,06:36:00
500D-1,500D-1#31,0,25,2,06:38:00
500D-1,500D-1#32,0,27,2,06:42:00
500D-1,500D-1#33,0,24,1,06:46:00
500D-1,500D-1#34,0,43,0,06:51:00
500D-1,500D-1#35,0,35,0,06:54:00
500D-1,500D-1#36,0,43,1,06:59:00
500D-1,500D-1#37,1,79,5,07:03:00
500D-2,500D-2#1,0,25,1,05:20:00
500D-2,500D-2#2,0,45,1,05:25:00
500D-2,500D-2#3,0,23,0,05:28:00
500D-2,500D-2#4,0,26,1,05:30:00
500D-2,500D-2#5,0,22,0,05:35:00
500D-2,500D-2#6,0,23,0,05:39:00
500D-2,500D-2#7,0,25,1,05:42:00
500D-2,500D-2#8,0,21,2,05:46:00
500D-2,500D-2#9,0,45,2,05:50:00
500D-2,500D-2#10,0,21,2,05:55:00
500D-2,500D-2#11,0,37,0,05:59:00
500D-2,500D-2#12,0,20,2,06:02:00
500D-2,500D-2#13,0,22,0,06:07:00
500D-2,500D-2#14,0,24,1,06:10:00
500D-2,500D-2#15,0,49,0,06:14:00
500D-2,500D-2#16,0,41,2,06:16:00
500D-2,500D-2#17,0,47,0,06:19:00
500D-2,500D-2#18,0,29,0,06:21:00
